vpip,ratio action
0.25,0.645
0.21,0.595
0.25,0.343
0.49,0.663
0.37,0.439
0.24,0.636
0.19,0.6
0.26,0.336
0.49,0.662
0.32,0.399
0.23,0.665
0.2,0.62
0.28,0.345
0.49,0.716
0.31,0.394
0.26,0.653
0.2,0.618
0.25,0.335
0.49,0.646
0.34,0.421
0.24,0.694
0.19,0.636
0.24,0.338
0.49,0.657
0.34,0.416
0.25,0.667
0.21,0.634
0.22,0.343
0.48,0.642
0.33,0.41
0.25,0.672
0.2,0.623
0.27,0.368
0.5,0.672
0.37,0.449
0.22,0.654
0.22,0.636
0.26,0.335
0.52,0.674
0.36,0.435
0.22,0.643
0.18,0.623
0.25,0.353
0.51,0.682
0.37,0.434
0.25,0.663
0.21,0.629
0.25,0.347
0.5,0.677
0.36,0.436
0.25,0.638
0.18,0.564
0.24,0.348
0.48,0.656
0.35,0.413
0.25,0.668
0.2,0.608
0.25,0.324
0.51,0.673
0.36,0.431
0.26,0.658
0.22,0.604
0.25,0.323
0.5,0.673
0.34,0.415
0.22,0.657
0.21,0.626
0.28,0.349
0.51,0.672
0.35,0.419
0.24,0.642
0.22,0.628
0.25,0.339
0.46,0.639
0.34,0.413
0.24,0.622
0.19,0.596
0.25,0.349
0.49,0.671
0.32,0.394
0.23,0.649
0.21,0.611
0.26,0.338
0.52,0.671
0.32,0.403
0.25,0.624
0.2,0.615
0.22,0.31
0.51,0.683
0.34,0.415
0.25,0.643
0.2,0.586
0.26,0.344
0.51,0.651
0.38,0.459
0.24,0.686
0.2,0.655
0.28,0.352
0.5,0.688
0.34,0.406
0.24,0.636
0.21,0.599
0.26,0.342
0.5,0.671
0.39,0.457
0.22,0.651
0.2,0.644
0.25,0.343
0.49,0.628
0.33,0.419
0.24,0.686
0.2,0.624
0.26,0.339
0.51,0.688
0.35,0.423
0.27,0.656
0.19,0.585
0.25,0.343
0.5,0.658
0.38,0.448
0.22,0.645
0.22,0.639
0.24,0.329
0.49,0.65
0.35,0.423
0.27,0.654
0.2,0.581
0.28,0.352
0.49,0.667
0.37,0.453
0.25,0.64
0.22,0.632
0.25,0.332
0.51,0.664
0.34,0.424
0.24,0.662
0.2,0.647
0.26,0.344
0.5,0.661
0.33,0.421
0.25,0.649
0.21,0.607
0.26,0.355
0.5,0.675
0.32,0.407
0.26,0.67
0.2,0.569
0.26,0.339
0.48,0.668
0.32,0.412
0.24,0.634
0.22,0.607
0.28,0.345
0.5,0.661
0.35,0.408
0.25,0.632
0.2,0.564
0.27,0.335
0.49,0.659
0.35,0.443
0.26,0.652
0.21,0.586
0.26,0.342
0.49,0.668
0.35,0.435
0.25,0.651
0.2,0.586
0.26,0.347
0.51,0.667
0.36,0.442
0.25,0.666
0.2,0.605
0.26,0.339
0.48,0.651
0.33,0.399
0.22,0.647
0.21,0.611
0.25,0.334
0.5,0.661
0.34,0.415
0.27,0.64
0.21,0.592
0.26,0.36
0.51,0.665
0.36,0.442
0.26,0.638
0.19,0.618
0.24,0.322
0.48,0.661
0.37,0.427
0.23,0.616
0.21,0.596
0.26,0.349
0.51,0.676
0.31,0.388
0.27,0.671
0.2,0.614
0.25,0.36
0.52,0.683
0.37,0.437
0.27,0.646
0.19,0.605
0.26,0.337
0.48,0.673
0.36,0.433
0.25,0.664
0.21,0.625
0.26,0.354
0.49,0.662
0.36,0.424
0.24,0.654
0.22,0.613
0.27,0.347
0.52,0.695
0.37,0.451
0.26,0.654
0.21,0.611
0.23,0.339
0.49,0.655
0.35,0.415
0.23,0.656
0.21,0.642
0.25,0.326
0.5,0.677
0.36,0.43
0.24,0.674
0.19,0.644
0.27,0.361
0.49,0.647
0.36,0.435
0.25,0.642
0.2,0.616
0.23,0.325
0.51,0.664
0.38,0.452
0.25,0.677
0.21,0.641
0.26,0.337
0.5,0.679
0.33,0.416
0.24,0.626
0.21,0.611
0.25,0.326
0.49,0.668
0.34,0.412
0.27,0.685
0.19,0.617
0.27,0.35
0.47,0.637
0.4,0.464
0.24,0.682
0.2,0.622
0.27,0.339
0.52,0.687
0.33,0.412
0.22,0.653
0.21,0.636
0.25,0.342
0.5,0.657
0.36,0.42
0.23,0.675
0.18,0.611
0.25,0.332
0.49,0.662
0.35,0.422
0.23,0.661
0.18,0.6
0.25,0.323
0.5,0.664
0.34,0.417
0.25,0.631
0.22,0.591
0.26,0.348
0.48,0.663
0.33,0.407
0.25,0.641
0.19,0.578
0.25,0.317
0.52,0.676
0.36,0.434
0.24,0.654
0.21,0.58
0.25,0.337
0.47,0.645
0.37,0.451
0.26,0.655
0.19,0.612
0.26,0.335
0.48,0.643
0.37,0.44
0.25,0.634
0.21,0.598
0.25,0.34
0.51,0.663
0.36,0.44
0.22,0.627
0.21,0.61
0.24,0.344
0.48,0.641
0.34,0.417
0.24,0.671
0.19,0.613
0.26,0.334
0.44,0.62
0.36,0.444
0.26,0.625
0.18,0.58
0.23,0.327
0.51,0.683
0.4,0.469
0.25,0.64
0.21,0.594
0.27,0.357
0.49,0.642
0.36,0.438
0.27,0.67
0.2,0.616
0.25,0.341
0.47,0.646
0.35,0.427
0.27,0.639
0.19,0.602
0.27,0.35
0.49,0.645
0.34,0.439
0.24,0.65
0.21,0.628
0.25,0.344
0.49,0.673
0.34,0.414
0.25,0.667
0.2,0.61
0.26,0.354
0.49,0.658
0.36,0.438
0.25,0.686
0.21,0.609
0.27,0.348
0.49,0.675
0.33,0.403
0.22,0.615
0.21,0.59
0.27,0.353
0.51,0.677
0.35,0.425
0.24,0.653
0.19,0.621
0.26,0.362
0.48,0.67
0.35,0.421
0.24,0.634
0.18,0.57
0.28,0.34
0.49,0.663
0.35,0.427
0.22,0.631
0.19,0.619
0.24,0.338
0.5,0.662
0.36,0.44
0.26,0.681
0.19,0.635
0.27,0.355
0.48,0.659
0.39,0.453
0.24,0.654
0.21,0.61
0.26,0.351
0.48,0.673
0.34,0.416
0.26,0.65
0.2,0.583
0.26,0.351
0.5,0.668
0.33,0.419
0.24,0.665
0.21,0.62
0.25,0.338
0.48,0.669
0.37,0.447
0.26,0.62
0.18,0.582
0.24,0.336
0.5,0.643
0.35,0.427
0.27,0.674
0.2,0.591
0.26,0.345
0.5,0.696
0.35,0.415
0.23,0.654
0.2,0.648
0.27,0.337
0.51,0.694
0.33,0.419
0.24,0.653
0.22,0.643
0.27,0.342
0.49,0.679
0.36,0.427
0.23,0.632
0.2,0.623
0.26,0.332
0.51,0.653
0.35,0.426
0.23,0.61
0.21,0.626
0.26,0.363
0.51,0.667
0.36,0.432
0.26,0.647
0.2,0.589
0.23,0.306
0.53,0.707
0.36,0.433
0.25,0.656
0.21,0.619
0.26,0.344
0.52,0.676
0.34,0.411
0.27,0.677
0.2,0.623
0.26,0.345
0.49,0.661
0.34,0.417
0.25,0.638
0.2,0.62
0.28,0.362
0.51,0.67
0.35,0.426
0.27,0.662
0.2,0.599
0.25,0.346
0.51,0.708
0.32,0.393
0.26,0.678
0.2,0.596
0.26,0.331
0.5,0.662
0.35,0.431
0.25,0.639
0.19,0.562
0.24,0.327
0.51,0.675
0.33,0.41
0.25,0.595
0.21,0.593
0.25,0.333
0.51,0.695
0.38,0.441
0.22,0.631
0.22,0.629
0.22,0.346
0.5,0.654
0.35,0.421
0.25,0.681
0.21,0.626
0.27,0.351
0.5,0.678
0.33,0.406
0.25,0.657
0.21,0.607
0.26,0.367
0.51,0.672
0.35,0.422
0.27,0.665
0.19,0.582
0.27,0.348
0.48,0.671
0.36,0.429
0.24,0.656
0.19,0.62
0.27,0.358
0.48,0.631
0.36,0.451
0.23,0.621
0.19,0.582
0.25,0.337
0.51,0.679
0.35,0.418
0.27,0.649
0.22,0.618
0.27,0.354
0.51,0.656
0.35,0.424
0.27,0.651
0.21,0.607
0.26,0.34
0.54,0.698
0.33,0.413
0.26,0.671
0.19,0.62
0.26,0.343
0.48,0.683
0.35,0.419
0.24,0.632
0.2,0.62
0.26,0.356
0.46,0.655
0.34,0.418
0.24,0.612
0.2,0.561
0.23,0.324
0.54,0.695
0.34,0.413
0.24,0.661
0.22,0.643
0.24,0.341
0.51,0.672
0.35,0.415
0.24,0.631
0.2,0.591
0.24,0.332
0.49,0.672
0.34,0.424
0.22,0.672
0.2,0.651
0.26,0.336
0.49,0.66
0.34,0.422
0.25,0.668
0.2,0.645
0.26,0.356
0.5,0.662
0.35,0.428
0.25,0.648
0.19,0.595
0.25,0.355
0.47,0.648
0.37,0.439
0.26,0.666
0.21,0.641
0.27,0.365
0.49,0.656
0.36,0.429
0.24,0.684
0.22,0.641
0.23,0.329
0.46,0.649
0.36,0.431
0.25,0.651
0.19,0.62
0.27,0.353
0.52,0.671
0.29,0.388
0.24,0.667
0.2,0.603
0.24,0.34
0.52,0.687
0.36,0.425
0.25,0.659
0.2,0.638
0.26,0.335
0.47,0.648
0.33,0.42
0.24,0.645
0.18,0.577
0.26,0.329
0.49,0.67
0.36,0.435
0.26,0.693
0.18,0.614
0.26,0.339
0.51,0.676
0.39,0.455
0.24,0.639
0.19,0.586
0.26,0.346
0.49,0.649
0.36,0.434
0.23,0.643
0.19,0.609
0.26,0.328
0.48,0.65
0.34,0.417
0.23,0.66
0.23,0.669
0.28,0.355
0.5,0.663
0.32,0.399
0.23,0.624
0.2,0.623
0.27,0.353
0.49,0.657
0.35,0.43
0.26,0.657
0.21,0.614
0.26,0.349
0.47,0.64
