vpip,ratio action,bot
0,0.0,random_agent
0,0.0,random_agent
1.0,0.1,random_agent
0,0.0,random_agent
0,0.0,random_agent
0,0.0,random_agent
0,0.0,random_agent
0.36,0.24,random_agent
0.5,0.33,random_agent
1.0,0.27,agent_out
1.0,0.5,agent_out
0,0.0,agent_out
0.27,0.45,agent_out
1.0,0.14,agent_out
1.0,1.0,agent_out
1.0,0.15,agent_out
0.76,0.68,agent_out
0.79,0.44,agent_out
1.0,0.3,agent_serre_agressif
1.0,0.33,agent_serre_agressif
1.0,0.33,agent_serre_agressif
0.53,0.45,agent_serre_agressif
0,0.0,agent_serre_agressif
1.0,0.33,agent_serre_agressif
1.0,0.25,agent_serre_agressif
1.0,0.44,agent_serre_agressif
0.85,0.68,agent_serre_agressif
1.0,0.36,agent_naif
1.0,0.17,agent_naif
1.0,0.2,agent_naif
0.29,0.53,agent_naif
1.0,0.4,agent_naif
1.0,0.19,agent_naif
1.0,0.31,agent_naif
0.88,0.27,agent_naif
0.55,0.5,agent_naif
1.0,0.27,agent_allIn
1.0,0.17,agent_allIn
1.0,0.09,agent_allIn
1.0,0.29,agent_allIn
1.0,0.22,agent_allIn
1.0,0.16,agent_allIn
1.0,0.2,agent_allIn
1.0,0.24,agent_allIn
1.0,0.5,agent_allIn
1.0,1.0,agent_saboteur
1.0,0.88,agent_saboteur
1.0,1.0,agent_saboteur
0.78,0.6,agent_saboteur
1.0,0.89,agent_saboteur
1.0,1.0,agent_saboteur
1.0,0.79,agent_saboteur
1.0,0.15,agent_saboteur
0.5,0.6,agent_saboteur
1.0,0.45,agent_serre_non_agressif
1.0,0.7,agent_serre_non_agressif
1.0,0.08,agent_serre_non_agressif
0.67,0.26,agent_serre_non_agressif
1.0,0.5,agent_serre_non_agressif
0,0.0,agent_serre_non_agressif
0.67,0.2,agent_serre_non_agressif
0.5,0.19,agent_serre_non_agressif
0.8,0.38,agent_serre_non_agressif
