vpip,ratio action
0.05,0.45
0.26,0.55
0.16,0.69
0.09,0.7
0.36,0.38
0.09,0.7
0.21,0.55
0.55,0.68
0.44,0.6
0.9,-0.3
0.7,0.73
0.72,0.44
0.0,0.99
0.45,0.44
0.7,-0.32
0.23,0.27
0.87,0.47
0.74,0.35
0.48,0.34
0.7,-0.29
0.0,1.0
0.46,0.52
0.05,0.32
0.12,0.45
0.78,0.57
0.67,0.32
0.36,0.42
0.09,0.68
0.2,0.52
0.1,0.69
0.69,0.51
0.34,0.43
0.79,0.54
0.7,0.36
0.7,-0.03
0.0,1.0
0.72,0.39
0.99,0.5
0.45,0.54
0.94,0.45
1.17,0.44
0.93,0.5
0.56,0.66
0.4,0.57
0.21,0.5
0.74,0.63
0.71,0.34
0.32,0.29
0.89,0.51
0.78,0.59
0.7,0.17
0,0.0
0.7,0.05
0.0,1.0
0.0,0.16
0.7,-0.03
0.0,1.0
0.24,0.3
0.85,0.45
0.71,0.41
0.55,0.58
0.45,0.19
1.07,0.52
0.0,1.0
0.13,0.19
0.7,-0.03
0.43,0.42
0.46,0.52
0.64,0.33
0.71,0.54
0.99,0.75
0.77,0.51
0.33,0.11
0.2,0.27
0.64,0.76
0.1,0.3
0.6,0.5
0.62,0.64
0.52,0.58
0.49,0.48
0.83,0.54
0.49,0.5
0.1,0.25
0.71,0.76
0.09,0.71
0.19,0.62
0.08,0.7
0.47,0.51
0.04,0.29
0.15,0.44
0.66,0.42
0.51,0.8
0.5,0.45
0.54,0.5
0.09,0.23
0.82,0.62
0.0,1.0
0.02,0.97
0.7,0.07
0.03,0.97
0.77,0.07
0.0,0.62
0.55,0.7
0.32,0.55
0.21,0.56
0.26,0.34
0.89,0.52
0.83,0.33
0.92,0.46
0.74,0.43
0.26,0.31
0.7,0.05
0.0,1.0
0.02,1.0
1.3,1.0
0.66,0.55
0.76,0.5
0.78,0.07
0.0,0.98
0.7,0.25
0.76,0.44
1.1,0.52
0.72,0.35
0.48,0.49
0.83,0.5
1.0,0.48
0.71,0.42
0.82,0.25
1.07,0.58
0.7,0.37
0.95,0.48
0.55,0.38
